horizon_bin,horizon_bin_start_hours,variable,n,bias_forecast_minus_actual,mae,rmse,variable_label
0-23h,0,precipitation,46,-0.1565217391304348,0.27391304347826084,0.4676490694676009,Precipitation
24-47h,24,precipitation,48,0.049999999999999996,0.0625,0.15545631755148026,Precipitation
48-71h,48,precipitation,48,0.0,0.0,0.0,Precipitation
72-95h,72,precipitation,48,0.0,0.004166666666666667,0.020412414523193152,Precipitation
96-119h,96,precipitation,48,0.075,0.11833333333333335,0.20163911657546346,Precipitation
120-143h,120,precipitation,48,-0.014791666666666668,0.018541666666666668,0.05055937104039172,Precipitation
144-167h,144,precipitation,48,0.0,0.0,0.0,Precipitation
168-191h,168,precipitation,48,0.48666666666666664,0.48666666666666664,0.8752523445650783,Precipitation
192-215h,192,precipitation,48,0.5114583333333332,0.5114583333333332,0.7261901151443286,Precipitation
216-239h,216,precipitation,48,0.034166666666666665,0.08333333333333333,0.12785082453130028,Precipitation
0-23h,0,shortwave_radiation,46,31.195652173913043,47.93478260869565,81.83453613449413,Shortwave radiation
24-47h,24,shortwave_radiation,48,44.0625,46.4375,70.44811920839335,Shortwave radiation
48-71h,48,shortwave_radiation,48,-31.979166666666668,35.104166666666664,65.69611226447626,Shortwave radiation
72-95h,72,shortwave_radiation,48,34.729166666666664,36.766666666666666,67.49163837098638,Shortwave radiation
96-119h,96,shortwave_radiation,48,-21.897916666666664,62.41041666666666,99.80383989773807,Shortwave radiation
120-143h,120,shortwave_radiation,48,-26.59166666666667,80.48333333333333,124.01190467047913,Shortwave radiation
144-167h,144,shortwave_radiation,48,-16.714583333333334,35.68958333333333,60.59731670351969,Shortwave radiation
168-191h,168,shortwave_radiation,48,-171.8708333333333,171.8708333333333,261.86683957054714,Shortwave radiation
192-215h,192,shortwave_radiation,48,-134.47916666666666,134.65416666666667,206.86875569629487,Shortwave radiation
216-239h,216,shortwave_radiation,48,-25.93958333333333,66.27291666666667,111.39291101771244,Shortwave radiation
0-23h,0,temperature,48,0.13333333333333341,0.725,1.0807019323877731,Temperature
24-47h,24,temperature,48,0.5854166666666666,1.05625,1.288652396885987,Temperature
48-71h,48,temperature,48,-0.6520833333333332,0.9520833333333331,1.2593814619354482,Temperature
72-95h,72,temperature,48,-0.7374999999999998,1.1624999999999999,1.453014108672039,Temperature
96-119h,96,temperature,48,-1.60625,1.6145833333333333,1.873110158711085,Temperature
120-143h,120,temperature,48,-4.1125,4.1125,4.311418946626891,Temperature
144-167h,144,temperature,48,-2.8312499999999994,2.84375,3.2584185837099975,Temperature
168-191h,168,temperature,48,-2.8875000000000006,3.670833333333333,4.313496261734789,Temperature
192-215h,192,temperature,48,-0.6562500000000003,2.060416666666667,2.6183248461564124,Temperature
216-239h,216,temperature,48,-0.5312500000000001,2.0854166666666667,2.3789440935003077,Temperature
0-23h,0,wind_speed,48,-1.9854166666666664,2.8229166666666665,3.4711609489237647,Wind speed
24-47h,24,wind_speed,48,-0.8875000000000001,2.4375,2.9565605016640535,Wind speed
48-71h,48,wind_speed,48,-0.031250000000000076,1.7270833333333335,2.0434346086919444,Wind speed
72-95h,72,wind_speed,48,-1.4374999999999998,2.2416666666666663,2.583198921234419,Wind speed
96-119h,96,wind_speed,48,0.7583333333333333,2.4,2.8160255680657444,Wind speed
120-143h,120,wind_speed,48,-1.4479166666666663,2.3979166666666663,2.8691970421472743,Wind speed
144-167h,144,wind_speed,48,-2.2270833333333333,2.6770833333333335,3.4173881352089155,Wind speed
168-191h,168,wind_speed,48,-1.3270833333333334,2.2145833333333336,2.7957929703991558,Wind speed
192-215h,192,wind_speed,48,3.6666666666666665,4.825,6.095182523928221,Wind speed
216-239h,216,wind_speed,48,-1.370833333333333,5.6375,6.399934895502193,Wind speed
