outcome,term,coefficient,std_error_hac,t_value,p_value,ci_low,ci_high
price_day_ahead_eur_mwh,Intercept,62.54985177433642,1.1018467477580631,56.76819566932255,0.0,60.390271832248025,64.70943171642482
price_day_ahead_eur_mwh,C(hour_utc)[T.1],-1.1926443680776657,0.1219766404234672,-9.777645653603456,1.4043928728416683e-22,-1.4317141902628538,-0.9535745458924775
price_day_ahead_eur_mwh,C(hour_utc)[T.2],-1.8982424344145052,0.1608876607530699,-11.79855823329997,3.9705600277213564e-32,-2.213576455047421,-1.5829084137815899
price_day_ahead_eur_mwh,C(hour_utc)[T.3],-1.2376731543832662,0.20651730585635225,-5.993072344475371,2.059131914713281e-09,-1.6424396360459594,-0.832906672720573
price_day_ahead_eur_mwh,C(hour_utc)[T.4],2.77059104626772,0.3060739174833779,9.052032492831355,1.403315305270712e-19,2.1706971913932147,3.370484901142225
price_day_ahead_eur_mwh,C(hour_utc)[T.5],8.897090333407483,0.40105545927247643,22.184189562079528,4.8814823699017585e-109,8.11103607743026,9.683144589384707
price_day_ahead_eur_mwh,C(hour_utc)[T.6],13.805042327168243,0.41138180476570146,33.557736796431165,6.94292867734119e-247,12.99874880593238,14.611335848404106
price_day_ahead_eur_mwh,C(hour_utc)[T.7],15.405873929253929,0.3849647555485195,40.01892045234835,0.0,14.651356873061564,16.16039098544629
price_day_ahead_eur_mwh,C(hour_utc)[T.8],15.652122210139893,0.3965671039611308,39.46903828834482,0.0,14.874864968922726,16.42937945135706
price_day_ahead_eur_mwh,C(hour_utc)[T.9],15.8810263602649,0.43857245966539155,36.21072415805889,4.1277884811079063e-287,15.021440134709588,16.740612585820212
price_day_ahead_eur_mwh,C(hour_utc)[T.10],15.458911629267,0.46471264631604703,33.26552817491764,1.2173732487674687e-242,14.548091579327247,16.36973167920675
price_day_ahead_eur_mwh,C(hour_utc)[T.11],14.148391692062088,0.5018421425606095,28.192912655503672,7.142859006329084e-175,13.164799166718877,15.131984217405298
price_day_ahead_eur_mwh,C(hour_utc)[T.12],12.952034001937482,0.5342807443675409,24.24200036868174,8.030113597465874e-130,11.90486298534385,13.999205018531114
price_day_ahead_eur_mwh,C(hour_utc)[T.13],12.780264508150925,0.5178643610497901,24.678787476789054,1.8071592598209115e-134,11.765269011616489,13.79526000468536
price_day_ahead_eur_mwh,C(hour_utc)[T.14],12.775760426409539,0.4855780331669163,26.310416768828382,1.4575007627872483e-152,11.824044969718587,13.72747588310049
price_day_ahead_eur_mwh,C(hour_utc)[T.15],14.113359437149551,0.4398190643305685,32.089012463866126,6.275145830472151e-226,13.251329911347533,14.97538896295157
price_day_ahead_eur_mwh,C(hour_utc)[T.16],16.42252244960161,0.437281290446227,37.55596868286572,1.1257904103366807e-308,15.565466869213804,17.279578029989413
price_day_ahead_eur_mwh,C(hour_utc)[T.17],18.251417817625708,0.5194976768591621,35.132818933805815,2.127093301146211e-270,17.23322108092952,19.269614554321894
price_day_ahead_eur_mwh,C(hour_utc)[T.18],15.650278491739428,0.4118407512817934,38.00080114226252,0.0,14.843085451861194,16.45747153161766
price_day_ahead_eur_mwh,C(hour_utc)[T.19],11.377921149014249,0.3351211940904907,33.951660920442826,1.152817602219112e-252,10.72109567814083,12.034746619887667
price_day_ahead_eur_mwh,C(hour_utc)[T.20],8.670954603225164,0.29416464486447763,29.476535520507213,5.755443428793798e-191,8.094402493765772,9.247506712684556
price_day_ahead_eur_mwh,C(hour_utc)[T.21],6.191990713776285,0.2720155309519205,22.76337197404635,1.057898128045392e-114,5.658850069874981,6.725131357677589
price_day_ahead_eur_mwh,C(hour_utc)[T.22],3.3557675064860297,0.2287864284993999,14.667686053304651,1.038257559642037e-48,2.9073543464756577,3.8041806664964017
price_day_ahead_eur_mwh,C(hour_utc)[T.23],1.4915781202483487,0.1728909268795214,8.627278175723768,6.282923340238246e-18,1.1527181303107388,1.8304381101859586
price_day_ahead_eur_mwh,C(day_of_week)[T.1],0.9697185386968985,0.7816588491310459,1.2405904951692348,0.21475706496142322,-0.5623046537969791,2.5017417311907764
price_day_ahead_eur_mwh,C(day_of_week)[T.2],1.1286828784304457,0.7610595883482106,1.4830414013705782,0.13806341129676977,-0.3629665048209265,2.620332261681818
price_day_ahead_eur_mwh,C(day_of_week)[T.3],1.4989047095444268,0.8222475057649794,1.8229361585596033,0.06831306066524684,-0.11267078813282327,3.110480207221677
price_day_ahead_eur_mwh,C(day_of_week)[T.4],1.551693670101264,0.7758442067002285,2.00000677545925,0.045499532274128555,0.031066967354766994,3.072320372847761
price_day_ahead_eur_mwh,C(day_of_week)[T.5],-2.724379162659101,0.934496065760482,-2.9153457809820025,0.0035529465406981047,-4.55595779524402,-0.8928005300741824
price_day_ahead_eur_mwh,C(day_of_week)[T.6],-5.982906116523482,0.8617306578179252,-6.942895743866651,3.841429273122895e-12,-7.671867170220625,-4.29394506282634
price_day_ahead_eur_mwh,C(year)[T.2019],-13.74163416049723,0.7121924743451465,-19.294832022947894,5.935756051402654e-83,-15.137505760274182,-12.345762560720276
price_day_ahead_eur_mwh,C(year)[T.2020],-19.269143845580878,0.7886661835391775,-24.432572674930306,7.710258807318882e-132,-20.814901161142323,-17.723386530019432
price_day_ahead_eur_mwh,renewable_share_pct,-0.521014136871188,0.017921599283487685,-29.071855063249387,8.147468767134775e-186,-0.5561398260121827,-0.48588844773019335
price_day_ahead_eur_mwh,temperature_2m_c_mean,-0.24054064953539211,0.03831655282505917,-6.277721553753072,3.435704914063334e-10,-0.31563971308423455,-0.16544158598654968
price_day_ahead_eur_mwh,wind_speed_10m_kmh_mean,-0.1271487218241477,0.048753732674912204,-2.6079792222673475,0.00910784826310523,-0.22270428197886924,-0.031593161669426134
price_day_ahead_eur_mwh,load_forecast_error_gw,1.0838378140795066,0.10925634180094315,9.920136407771896,3.402907956089191e-23,0.86969931906706,1.2979763090919532
negative_price_flag_lpm,Intercept,-0.08679338982826286,0.015028898787745278,-5.775099763066812,7.690750360039046e-09,-0.11624949017954128,-0.05733728947698444
negative_price_flag_lpm,C(hour_utc)[T.1],0.007921789488570224,0.005069090336023275,1.5627635262828843,0.11810822612379893,-0.002013445004415436,0.017857023981555885
negative_price_flag_lpm,C(hour_utc)[T.2],0.011594383308623314,0.005139888586768638,2.2557654923630377,0.024085321518846216,0.0015203867940083073,0.02166837982323832
negative_price_flag_lpm,C(hour_utc)[T.3],0.010339617707357075,0.005837650124380749,1.7711951704974591,0.07652825209971076,-0.0011019662907749608,0.02178120170548911
negative_price_flag_lpm,C(hour_utc)[T.4],0.0005412389563509189,0.006329465569894986,0.08551100410834508,0.9318551475021365,-0.01186428560202954,0.012946763514731379
negative_price_flag_lpm,C(hour_utc)[T.5],-0.0010167650730753056,0.006942206604028843,-0.14646136755498398,0.8835571852260449,-0.014623239990207954,0.012589709844057342
negative_price_flag_lpm,C(hour_utc)[T.6],-0.013216598726960384,0.0071314621045134256,-1.853280369897183,0.06384218328237751,-0.027194007608918914,0.0007608101549981486
negative_price_flag_lpm,C(hour_utc)[T.7],-0.029431418871539154,0.007451101543350761,-3.949941991839215,7.817013577367683e-05,-0.04403530954165746,-0.01482752820142085
negative_price_flag_lpm,C(hour_utc)[T.8],-0.03609806868208241,0.008355358298849322,-4.3203495757990105,1.5578221901706532e-05,-0.05247427002575493,-0.019721867338409884
negative_price_flag_lpm,C(hour_utc)[T.9],-0.04526003039883737,0.009123774132716858,-4.9606697557910655,7.025053774397247e-07,-0.06314229910204058,-0.027377761695634165
negative_price_flag_lpm,C(hour_utc)[T.10],-0.04551246557458347,0.009666511765459735,-4.708261540342616,2.498384114548318e-06,-0.06445848049101724,-0.0265664506581497
negative_price_flag_lpm,C(hour_utc)[T.11],-0.03083403013371019,0.01058204881425674,-2.9138053202106593,0.0035705249414990313,-0.051574464692298184,-0.010093595575122197
