location,horizon_bin,horizon_bin_start_hours,variable,variable_label,n,bias_forecast_minus_actual,mae,rmse
frankfurt,0-23h,0,temperature,Temperature,24,0.48750000000000004,0.9708333333333332,1.4202405899471167
frankfurt,0-23h,0,wind_speed,Wind speed,24,-3.891666666666666,3.908333333333333,4.445971959725642
frankfurt,0-23h,0,shortwave_radiation,Shortwave radiation,23,44.04347826086956,47.608695652173914,88.21589130230942
frankfurt,0-23h,0,precipitation,Precipitation,23,-0.22608695652173913,0.42608695652173917,0.6338289441440669
frankfurt,120-143h,120,temperature,Temperature,24,-4.041666666666667,4.041666666666667,4.31335136523794
frankfurt,120-143h,120,wind_speed,Wind speed,24,-1.6000000000000003,2.2416666666666667,2.839600910926275
frankfurt,120-143h,120,shortwave_radiation,Shortwave radiation,24,3.9875000000000007,50.57083333333333,74.56072189832929
frankfurt,120-143h,120,precipitation,Precipitation,24,-0.02916666666666667,0.02916666666666667,0.06770032003863301
frankfurt,144-167h,144,temperature,Temperature,24,-2.875,2.875,3.2524349852584806
frankfurt,144-167h,144,wind_speed,Wind speed,24,-1.2666666666666666,2.1083333333333334,2.910469607010754
frankfurt,144-167h,144,shortwave_radiation,Shortwave radiation,24,-4.55,32.12499999999999,59.06898509370209
frankfurt,144-167h,144,precipitation,Precipitation,24,0.0,0.0,0.0
frankfurt,168-191h,168,temperature,Temperature,24,-3.2458333333333336,3.4958333333333336,4.029526440331833
frankfurt,168-191h,168,wind_speed,Wind speed,24,-1.8583333333333334,2.0500000000000003,2.588435821108957
frankfurt,168-191h,168,shortwave_radiation,Shortwave radiation,24,-152.32916666666668,152.32916666666668,227.729085208719
frankfurt,168-191h,168,precipitation,Precipitation,24,0.3445833333333333,0.3445833333333333,0.7440570094645526
frankfurt,192-215h,192,temperature,Temperature,24,-0.08750000000000006,1.1791666666666667,1.545558151607373
frankfurt,192-215h,192,wind_speed,Wind speed,24,4.2124999999999995,5.0625,6.76033159936207
frankfurt,192-215h,192,shortwave_radiation,Shortwave radiation,24,-108.78749999999998,109.13749999999999,174.918725174484
frankfurt,192-215h,192,precipitation,Precipitation,24,0.7804166666666665,0.7804166666666665,0.9036200344540102
frankfurt,216-239h,216,temperature,Temperature,24,-1.054166666666667,2.245833333333333,2.4985829317168293
frankfurt,216-239h,216,wind_speed,Wind speed,24,-2.1291666666666664,5.804166666666667,6.604449257886686
frankfurt,216-239h,216,shortwave_radiation,Shortwave radiation,24,-72.79166666666667,77.375,128.30368921689924
frankfurt,216-239h,216,precipitation,Precipitation,24,0.08291666666666668,0.09375,0.12081321671627378
frankfurt,24-47h,24,temperature,Temperature,24,0.7291666666666665,1.3541666666666667,1.6001302030355737
frankfurt,24-47h,24,wind_speed,Wind speed,24,-2.608333333333333,2.9,3.4236919643371344
frankfurt,24-47h,24,shortwave_radiation,Shortwave radiation,24,57.833333333333336,57.833333333333336,82.21212400451246
frankfurt,24-47h,24,precipitation,Precipitation,24,0.07916666666666668,0.10416666666666667,0.2150581316760657
frankfurt,48-71h,48,temperature,Temperature,24,0.041666666666666595,0.5416666666666664,0.6757711644237762
frankfurt,48-71h,48,wind_speed,Wind speed,24,-0.9750000000000001,1.9333333333333336,2.226544407821232
frankfurt,48-71h,48,shortwave_radiation,Shortwave radiation,24,-30.375,32.375,54.57449037783129
frankfurt,48-71h,48,precipitation,Precipitation,24,0.0,0.0,0.0
